Symbol,Name
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
TATAMOTORS,TATA MOTORS LIMITED
TATAPOWER,TATA POWER COMPANY LIMITED
TATASTEEL,TATA STEEL LIMITED
TCS,TATA CONSULTANCY SERVICES LIMITED
TECHM,TECH MAHINDRA LIMITED
TITAN,TITAN COMPANY LIMITED
TORNTPHARM,TORRENT PHARMACEUTICALS LIMITED
TORNTPOWER,TORRENT POWER LIMITED
TRENT,Trent Limited
TVSMOTOR,TVS MOTOR COMPANY LIMITED
UBL,UNITED BREWERIES LIMITED
ULTRACEMCO,ULTRATECH CEMENT LIMITED
UPL,UPL LIMITED
VEDL,VEDANTA LIMITED
VOLTAS,VOLTAS LIMITED
WIPRO,WIPRO LIMITED
ZEEL,ZEE ENTERTAINMENT ENTERPRISES LIMITED
